PID,group,gender,age,SWS,abi_average,math_average,BF_Gew,BF_Ext,BF_Neu,BF_Ver,BF_Off,procrastination,SELLMO_LZ,SELLMO_AL,SELLMO_VL,SELLMO_AV,nfc,second_try,prior_knowledge,entrance_certificate,study_program,semester,financing_parents,financing_bafoeg,financing_scholarship,financing_job,financing_others
703,A,weiblich,19,9,1.4,13,16,16,13,16,12,16,23,16,15,15,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
704,B,weiblich,20,14,2.2,9,19,11,10,19,13,23,31,23,32,23,2.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
705,B,weiblich,20,13,1.1,14,19,11,15,18,17,14,34,17,19,15,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
706,B,weiblich,21,18,2.0,9,16,16,15,15,13,20,35,25,25,20,4.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
708,A,weiblich,21,NA,NA,NA,17,18,13,16,20,28,30,18,18,22,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709,B,weiblich,28,20,2.5,5,13,12,15,14,15,20,35,20,20,10,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
710,A,weiblich,20,19,2.2,7,18,15,17,20,13,25,40,16,12,11,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,TRUE,FALSE,TRUE,FALSE
711,A,weiblich,20,18,2.2,8,18,14,10,16,9,18,31,21,15,15,4.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
713,A,weiblich,20,20,1.7,5,13,16,16,18,15,26,33,21,18,18,5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
714,B,weiblich,24,6,3.3,4,12,15,19,16,17,25,35,20,19,17,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
715,A,weiblich,22,18,1.9,7,20,18,16,20,13,17,34,21,22,19,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
716,B,weiblich,20,16,1.9,14,17,19,15,19,19,24,37,28,14,16,5.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
717,B,weiblich,21,12,2.0,7,19,16,10,13,11,18,38,23,28,17,3.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,TRUE
718,B,weiblich,26,30,3.1,6,14,10,9,16,14,29,27,18,16,18,2.75,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Europalehramt Primarstufe,1,FALSE,TRUE,FALSE,FALSE,FALSE
720,A,weiblich,20,18,1.7,9,15,21,15,14,19,30,29,19,13,21,2.25,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,FALSE,FALSE
722,B,weiblich,20,20,2.7,0,17,14,10,20,12,20,38,22,11,12,3,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas überdurchschnittlich,Allgemeine Hochschulreife,Bachelor Sekundarstufe,5,TRUE,FALSE,FALSE,TRUE,FALSE
724,B,weiblich,20,16,2.4,6,10,16,15,15,14,29,30,19,15,17,4,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",sehr unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
725,B,weiblich,20,12,2.6,8,16,20,8,18,14,22,38,16,15,17,3.5,"Nein, ich schreibe die Klausur in diesem Semester zum ersten Mal.",etwas unterdurchschnittlich,Allgemeine Hochschulreife,Bachelor Primarstufe,3,TRUE,FALSE,FALSE,TRUE,FALSE
